         15265269 function calls (15256593 primitive calls) in 68.643 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     13/3    0.000    0.000    0.001    0.000 sre_parse.py:411(_parse_sub)
     15/3    0.000    0.000    0.001    0.000 sre_parse.py:469(_parse)
        3    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       16    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        3    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        3    0.000    0.000    0.001    0.000 sre_parse.py:913(parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 typing.py:814(__new__)
     5562    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7fe5e3024b40}
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      7/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       18    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      114    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       19    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      114    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        3    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        9    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
     1428    0.001    0.000    0.001    0.000 {built-in method _struct.unpack_from}
       38    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       38    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       36    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     15/5    0.000    0.000    0.006    0.001 {built-in method builtins.__import__}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      476    0.007    0.000    0.007    0.000 {built-in method builtins.dir}
     20/1    0.000    0.000   68.643   68.643 {built-in method builtins.exec}
     1114    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     9067    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
    13094    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
12334/12303    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      476    0.000    0.000    0.010    0.000 {built-in method builtins.next}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       55    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.001    0.001 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       50    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      476    0.009    0.000    0.009    0.000 {built-in method io.open}
       18    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
   311279    0.201    0.000    0.201    0.000 {built-in method numpy.array}
   621458    0.053    0.000    0.053    0.000 {built-in method numpy.asanyarray}
17256/8866    0.245    0.000    3.788    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8390    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      238    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
     5122    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1666    0.006    0.000    0.006    0.000 {built-in method posix.readlink}
       63    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      238    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
     6738    0.002    0.000    0.002    0.000 {built-in method sys.intern}
      476    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     4588    0.003    0.000    0.022    0.000 {method 'all' of 'numpy.ndarray' objects}
